typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,380,ITA,Italy,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,3000,false,1,false,,false,,9060.156,9060.156,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,281880,false,15,g,46435680,false,281880,false,,false,,8831633.031,8831633.031,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,748,SWZ,Eswatini,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,,false,,8213.228,8213.228,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,114464,false,15,g,5847722,false,114464,false,,false,,3667287.877,3667287.877,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27,false,15,g,27000,false,27,false,,false,,527454.08,527454.08,0,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,7,false,0,true,0,false,0,1574.569,1574.569,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.025,true,8,kg,2,false,1.025,true,0,false,0,1369.425,1369.425,6,false,true
C,A,20170101,2017,52,2017,710,ZAF,South Africa,X,Export,748,SWZ,Eswatini,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,8,kg,5,false,0,true,0,false,0,205.144,205.144,6,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31,false,15,g,32246,false,31,false,,false,,589461.521,589461.521,0,false,true
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,false,15,g,1246,false,2,false,,false,,44734.057,44734.057,0,true,false
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,380,ITA,Italy,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,3000,false,1,false,,false,,9060.156,9060.156,0,true,false
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,748,SWZ,Eswatini,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,,false,,8213.228,8213.228,0,true,false
C,A,20170101,2017,52,2017,404,KEN,Kenya,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,27,false,15,g,27000,false,27,false,,false,,527454.08,527454.08,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14295.32,false,15,g,14294471,false,,false,0,false,,11062854.48,11062854.48,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,181.386,false,15,g,181386,false,,false,0,false,,6308281.88,6308281.88,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14112.934,false,15,g,14112934,false,,false,0,false,,4748553.249,4748553.249,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,151,false,1,false,0,false,,6019.351,6019.351,0,true,false
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,150480.024,true,0,false,0,5407914857.095,5407914857.095,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,72,BWA,Botswana,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,-1,N/A,0,false,1,false,0,false,0,1889.883,1889.883,0,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,161.693,true,-1,N/A,0,false,161.693,true,0,false,0,177346.189,177346.189,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,748,SWZ,Eswatini,0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0.01,true,0,false,0,438.634,438.634,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,899,_X ,"Areas, nes",0,W00,World,H5,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150317.32,false,-1,N/A,0,false,150317.32,false,0,false,0,5407735182.389,5407735182.389,0,false,true
