"date","reporterDesc","partnerDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2019-01-01,"Kenya","Turkey",710812,"kg",1.051,"g",1051,21079.49,"w"
2019-01-01,"Kenya","United Kingdom",710812,"kg",0.286,"g",286,10491.2,"w"
2019-01-01,"Kenya","USA",710812,"kg",2,"g",2000,69880.42,"w"
2019-01-01,"Kenya","South Africa",710813,"kg",342.614,NA,NA,13343069.27,"b"
2019-01-01,"Kenya","Switzerland",710813,"kg",65.109,NA,NA,2246312.45,"w"
2019-01-01,"Kenya","United Arab Emirates",710813,"kg",5,"g",5000,135364.84,NA
2019-01-01,"South Africa","Botswana",7108,"kg",0.1,NA,NA,219.734,NA
2019-01-01,"South Africa","Lesotho",7108,NA,NA,NA,NA,9.133,NA
2019-01-01,"South Africa","Namibia",7108,"kg",26.46,NA,NA,53526.324,NA
2019-01-01,"South Africa","Eswatini",7108,NA,NA,NA,NA,857.349,NA
2019-01-01,"South Africa","Areas, nes",7108,"kg",105016.6,NA,NA,4621549603.625,NA
2019-01-01,"South Africa","Namibia",710812,"kg",0.76,NA,NA,553.07,NA
2019-01-01,"South Africa","Eswatini",710812,NA,NA,NA,NA,482.362,NA
2019-01-01,"South Africa","Botswana",710813,"kg",0.1,NA,NA,219.734,NA
2019-01-01,"South Africa","Lesotho",710813,NA,NA,NA,NA,9.133,NA
2019-01-01,"South Africa","Namibia",710813,"kg",25.7,NA,NA,52973.254,NA
2019-01-01,"South Africa","Eswatini",710813,NA,NA,NA,NA,374.986,NA
2019-01-01,"South Africa","Areas, nes",710813,"kg",105016.6,NA,NA,4621549603.625,NA
2020-01-01,"Kenya","Cyprus",7108,"kg",1,"kg",1,50441.278,"w"
2020-01-01,"Kenya","Ethiopia",7108,"kg",1,"kg",1,35669.751,NA
2020-01-01,"Kenya","China, Hong Kong SAR",7108,"kg",48,"kg",48,896029.373,"b"
2020-01-01,"Kenya","Dem. People's Rep. of Korea",7108,"kg",1,"kg",1,6204.321,NA
2020-01-01,"Kenya","Rep. of Korea",7108,"kg",2,"kg",2,47604.597,"w"
2020-01-01,"Kenya","South Africa",7108,NA,NA,NA,NA,8138314.215,"b"
2020-01-01,"Kenya","United Arab Emirates",7108,"kg",9,"kg",9,544765.695,NA
2020-01-01,"Kenya","Cyprus",710812,"kg",1,"kg",1,50441.278,"w"
2020-01-01,"Kenya","Ethiopia",710812,"kg",1,"kg",1,35669.751,NA
2020-01-01,"Kenya","China, Hong Kong SAR",710812,"kg",8,"kg",8,420535.117,"b"
2020-01-01,"Kenya","Dem. People's Rep. of Korea",710812,"kg",1,"kg",1,6204.321,NA
2020-01-01,"Kenya","Rep. of Korea",710812,"kg",2,"kg",2,47604.597,"w"
2020-01-01,"Kenya","United Arab Emirates",710812,"kg",9,"kg",9,544765.695,NA
2020-01-01,"Kenya","China, Hong Kong SAR",710813,"kg",40,"kg",40,475494.256,"b"
2020-01-01,"Kenya","South Africa",710813,NA,NA,"kg",172485,8138314.215,"b"
2020-01-01,"South Africa","Botswana",7108,NA,NA,NA,NA,23450.3,NA
2020-01-01,"South Africa","Namibia",7108,"kg",32.27,"kg",32.27,1039561.204,NA
2020-01-01,"South Africa","Areas, nes",7108,"kg",122755.08,"kg",122755.08,6716322731.468,NA
2020-01-01,"South Africa","Botswana",710811,NA,NA,"kg",0.5,2.452,NA
2020-01-01,"South Africa","Botswana",710813,"kg",4.08,"kg",4.08,23447.848,NA
2020-01-01,"South Africa","Namibia",710813,"kg",32.27,"kg",32.27,1039561.204,NA
2020-01-01,"South Africa","Areas, nes",710813,"kg",122755.08,"kg",122755.08,6716322731.468,NA
2021-01-01,"South Africa","Botswana",710811,NA,NA,"kg",2,0.677,NA
2021-01-01,"South Africa","Namibia",710811,NA,NA,"kg",71.09,1671.733,NA
2021-01-01,"Kenya","Cameroon",7108,"kg",1,"g",1000,63215.519,NA
2021-01-01,"Kenya","Dem. Rep. of the Congo",7108,NA,NA,NA,NA,136861.266,NA
2021-01-01,"Kenya","Germany",7108,"kg",1,"g",1000,1856.938,"w"
2021-01-01,"Kenya","China, Hong Kong SAR",7108,"kg",6.054,NA,NA,255471.577,"b"
2021-01-01,"Kenya","South Africa",7108,"kg",180.237,NA,NA,8693596.979,"b"
2021-01-01,"Kenya","Switzerland",7108,"kg",134.656,NA,NA,5986598.55,"w"
2021-01-01,"Kenya","United Arab Emirates",7108,"kg",7.987,"g",7987.2,324526.26,NA
2021-01-01,"Kenya","USA",7108,"kg",0.254,"g",254,11425.563,"w"
2021-01-01,"South Africa","Botswana",7108,NA,NA,NA,NA,173.696,NA
2021-01-01,"South Africa","Namibia",7108,"kg",61.567,NA,NA,152592.266,NA
2021-01-01,"South Africa","Eswatini",7108,NA,NA,NA,NA,93.445,NA
2021-01-01,"South Africa","Areas, nes",7108,"kg",127556.72,"kg",127556.72,7307446575.796,NA
