"date","partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2017-01-01,"Switzerland","South Africa",710811,NA,NA,"kg",1,12.189,"w"
2017-01-01,"United Arab Emirates","South Africa",710811,"kg",1,"kg",1,26534.506,NA
2017-01-01,"Eswatini","South Africa",710812,"kg",0.005,NA,NA,204.597,NA
2017-01-01,"Switzerland","South Africa",710812,"kg",22799,"kg",22799,798658279.346,"w"
2017-01-01,"Thailand","South Africa",710812,"kg",2253,"kg",2253,90566254.68,NA
2017-01-01,"United Arab Emirates","South Africa",710812,"kg",21116,"kg",21116,662993534.668,NA
2017-01-01,"Eswatini","South Africa",710813,"kg",0.002,NA,NA,67.93,NA
2017-01-01,"Sweden","South Africa",710813,"kg",1,"g",1000,13243.095,"w"
2017-01-01,"Switzerland","South Africa",710813,"kg",4.421,NA,NA,177669.94,"w"
2017-01-01,"United Arab Emirates","South Africa",710813,"kg",46,"kg",46,1577032.907,NA
2017-01-01,"Turkey","Kenya",7108,"kg",40.123,"g",40123,1518720,"w"
2017-01-01,"Turkey","Kenya",710812,"kg",40.123,"g",40123,1518720,"w"
2017-01-01,"Turkey","South Africa",7108,"kg",14797.609,"g",14797609,604184143,"w"
2017-01-01,"United Kingdom","South Africa",7108,"kg",104501,"g",104470440,4260391676.108,"w"
2017-01-01,"USA","South Africa",7108,"kg",1025.181,NA,NA,45542572,"w"
2017-01-01,"Zambia","South Africa",7108,"kg",0.246,NA,NA,15390.483,NA
2017-01-01,"Zambia","South Africa",710811,"kg",0.246,"g",1,15390.483,NA
2017-01-01,"Turkey","South Africa",710812,"kg",14797.609,"g",14797609,604184143,"w"
2017-01-01,"USA","South Africa",710812,"kg",1022.27,NA,NA,45423602,"w"
2017-01-01,"United Kingdom","South Africa",710813,"kg",104501,"g",104470440,4260391676.108,"w"
2017-01-01,"USA","South Africa",710813,"kg",2.911,NA,NA,118970,"w"
2018-01-01,"Azerbaijan","South Africa",7108,"kg",4019.25,"g",4019250,157304306.9,NA
2018-01-01,"Australia","South Africa",7108,"kg",112.389,NA,NA,4448508.421,"w"
2018-01-01,"Austria","South Africa",7108,"kg",41,"kg",41,2000265.27,"w"
2018-01-01,"Botswana","South Africa",7108,"kg",45.627,NA,NA,30536.038,NA
2018-01-01,"Australia","South Africa",710812,"kg",7.988,NA,NA,308091.888,"w"
2018-01-01,"Austria","South Africa",710812,"kg",41,"kg",41,2000265.27,"w"
2018-01-01,"Azerbaijan","South Africa",710813,"kg",4019.25,"g",4019250,157304306.9,NA
2018-01-01,"Australia","South Africa",710813,"kg",104.402,NA,NA,4140416.532,"w"
2018-01-01,"Botswana","South Africa",710813,"kg",45.627,"kg",35880,30536.038,NA
2018-01-01,"Canada","Kenya",7108,"kg",3.241,"g",3241,38482.773,"w"
2018-01-01,"Canada","Kenya",710812,"kg",3.241,"g",3241,38482.773,"w"
2018-01-01,"Canada","South Africa",7108,"kg",2858.089,"g",2858089,108987801.814,"w"
2018-01-01,"China","South Africa",7108,"kg",199226.54,"g",199226540,8451013372,"b"
2018-01-01,"Czechia","South Africa",7108,"kg",2.181,"g",2581,109924,"w"
2018-01-01,"Canada","South Africa",710812,"kg",2858.089,"g",2858089,108987801.814,"w"
