"refYear","reporterDesc","partnerDesc","cmdCode","qty","altQty","primaryValue"
2020,"Kenya","Dem. People's Rep. of Korea",7108,1,1,6204.321
2020,"Kenya","Rep. of Korea",7108,2,2,47604.597
2020,"Kenya","South Africa",7108,0,0,8138314.215
2020,"Kenya","United Arab Emirates",7108,9,9,544765.695
2020,"Kenya","World",710812,22,22,1105220.758
2020,"Kenya","Cyprus",710812,1,1,50441.278
2020,"Kenya","Ethiopia",710812,1,1,35669.751
2020,"Kenya","China, Hong Kong SAR",710812,8,8,420535.117
2020,"Kenya","Dem. People's Rep. of Korea",710812,1,1,6204.321
2020,"Kenya","Rep. of Korea",710812,2,2,47604.597
2020,"Kenya","United Arab Emirates",710812,9,9,544765.695
2020,"Kenya","World",710813,0,172525,8613808.47
2020,"Kenya","China, Hong Kong SAR",710813,40,40,475494.256
2020,"Kenya","South Africa",710813,0,172485,8138314.215
2020,"South Africa","World",7108,0,0,6717385742.973
2020,"South Africa","Botswana",7108,0,0,23450.3
2020,"South Africa","Namibia",7108,32.27,32.27,1039561.204
2020,"South Africa","Areas, nes",7108,122755.08,122755.08,6716322731.468
2020,"South Africa","World",710811,0,0.5,2.452
2020,"South Africa","Botswana",710811,0,0.5,2.452
2020,"South Africa","World",710813,122791.43,122791.43,6717385740.521
2020,"South Africa","Botswana",710813,4.08,4.08,23447.848
2020,"South Africa","Namibia",710813,32.27,32.27,1039561.204
2020,"South Africa","Areas, nes",710813,122755.08,122755.08,6716322731.468
2021,"South Africa","World",710811,0,73.09,1672.409
2021,"South Africa","Botswana",710811,0,2,0.677
2021,"South Africa","Namibia",710811,0,71.09,1671.733
2021,"Kenya","World",7108,0,0,15473552.652
2021,"Kenya","Cameroon",7108,1,1000,63215.519
2021,"Kenya","Dem. Rep. of the Congo",7108,0,0,136861.266
2021,"Kenya","Germany",7108,1,1000,1856.938
2021,"Kenya","China, Hong Kong SAR",7108,6.054,0,255471.577
2021,"Kenya","South Africa",7108,180.237,0,8693596.979
2021,"Kenya","Switzerland",7108,134.656,0,5986598.55
2021,"Kenya","United Arab Emirates",7108,7.987,7987.2,324526.26
2021,"Kenya","USA",7108,0.254,254,11425.563
2021,"South Africa","World",7108,0,0,7307599435.204
2021,"South Africa","Botswana",7108,0,0,173.696
2021,"South Africa","Namibia",7108,61.567,0,152592.266
2021,"South Africa","Eswatini",7108,0,0,93.445
2021,"South Africa","Areas, nes",7108,127556.72,127556.72,7307446575.796
2021,"Kenya","World",710813,0,93139297.3,14866210.499
2021,"Kenya","Dem. Rep. of the Congo",710813,0,3223000,136861.266
2021,"Kenya","China, Hong Kong SAR",710813,0,1008210,49153.704
2021,"Kenya","South Africa",710813,180.237,33250855.3,8693596.979
2021,"Kenya","Switzerland",710813,134.656,55657232,5986598.55
2021,"South Africa","World",710813,0,127892.56,7307539999.375
2021,"South Africa","Botswana",710813,0,121.95,173.02
2021,"South Africa","Namibia",710813,54.534,213.89,93250.559
2021,"South Africa","Areas, nes",710813,127556.72,127556.72,7307446575.796
2021,"Kenya","World",710812,15.241,15241.2,607342.153
2021,"Kenya","Cameroon",710812,1,1000,63215.519
2021,"Kenya","Germany",710812,1,1000,1856.938
2021,"Kenya","China, Hong Kong SAR",710812,5,5000,206317.873
2021,"Kenya","United Arab Emirates",710812,7.987,7987.2,324526.26
2021,"Kenya","USA",710812,0.254,254,11425.563
2021,"South Africa","World",710812,0,90,57763.42
2021,"South Africa","Namibia",710812,7.003,19,57669.975
2021,"South Africa","Eswatini",710812,0,71,93.445
2022,"Kenya","World",7108,672.161,672161.4,32437409.848
2022,"Kenya","Germany",7108,0.266,266.3,13124.206
2022,"Kenya","China, Hong Kong SAR",7108,1,1000,56737.956
2022,"Kenya","Italy",7108,1,1000,47961.199
2022,"Kenya","Rep. of Korea",7108,11,11000,629976.494
2022,"Kenya","Nigeria",7108,1,1000,55236.017
2022,"Kenya","Paraguay",7108,0.5,500,453.732
2022,"Kenya","Slovenia",7108,0.156,155.6,8370.134
