typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","0","333176.046","333176.046","6","false","true",
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","0","6533.26","6533.26","0","false","true",
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","710","ZAF","South Africa","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","0","326642.785","326642.785","6","false","true",
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H5","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","0","6533.26","6533.26","0","false","true",
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","408","PRK","Dem. People's Rep. of Korea","0","W00","World","H5","HS","true","710812","Metals; gold, non-monetary, unwrought (but not powder)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","0","6533.26","6533.26","0","false","true",
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","8","kg","8051","false","0","true","0","false","0","326642.785","326642.785","6","false","true",
"C","M","20200101","2020","1","202001","404","KEN","Kenya","X","Export","710","ZAF","South Africa","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","8","kg","8051","false","0","true","0","false","0","326642.785","326642.785","6","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8875.03","false","8","kg","8875.03","false","8875.03","false","0","false",,"438644191.786","438644191.786","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","72","BWA","Botswana","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.04","false","8","kg","0.04","false","0.04","false","0","false",,"1210.933","1210.933","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","516","NAM","Namibia","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.71","false","8","kg","2.71","false","2.71","false","0","false",,"23679.586","23679.586","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","899","_X ","Areas, nes","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8872.28","false","8","kg","8872.28","false","8872.28","false","0","false",,"438619301.268","438619301.268","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","0","W00","World","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8875.03","false","8","kg","8875.03","false","8875.03","false","0","false",,"438644191.786","438644191.786","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","72","BWA","Botswana","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.04","false","8","kg","0.04","false","0.04","false","0","false",,"1210.933","1210.933","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","516","NAM","Namibia","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.71","false","8","kg","2.71","false","2.71","false","0","false",,"23679.586","23679.586","0","false","true",
"C","M","20200101","2020","1","202001","710","ZAF","South Africa","X","Export","899","_X ","Areas, nes","0","W00","World","H5","HS","true","710813","Metals; gold, semi-manufactured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8872.28","false","8","kg","8872.28","false","8872.28","false","0","false",,"438619301.268","438619301.268","0","false","true",
"C","M","20200201","2020","2","202002","404","KEN","Kenya","X","Export","0","W00","World","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","0","2176961.552","2176961.552","6","false","true",
"C","M","20200201","2020","2","202002","404","KEN","Kenya","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","7108","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","0","1848.041","1848.041","0","false","true",
